date,deviation_area_km2
2023-01-01,106613.14551343024
2023-01-02,105060.60585488747
2023-01-03,125641.1070113946
2023-01-04,112121.82415562183
2023-01-05,107130.91236941262
2023-01-06,124029.86813666897
2023-01-07,104284.21322834126
2023-01-08,126228.99261735332
2023-01-09,131998.53522210746
2023-01-10,146390.35554350854
2023-01-11,123889.52953188519
2023-01-12,128886.62507246945
2023-01-13,111391.08516081859
2023-01-14,125021.98549198628
2023-01-15,123508.63749494706
2023-01-16,127426.74151766745
2023-01-17,127711.55395374971
2023-01-18,142368.53595410127
2023-01-19,134382.79420958197
2023-01-20,133070.59239735978
2023-01-21,134634.9670923938
2023-01-22,123873.04279048275
2023-01-23,130205.78373877954
2023-01-24,134745.81941942815
2023-01-25,128794.01544638966
2023-01-26,146650.49761074365
2023-01-27,152992.7563151081
2023-01-28,125032.58309352455
2023-01-29,119280.34045979781
2023-01-30,119019.33779642521
2023-01-31,139525.74913892048
2023-02-01,161879.2839606311
2023-02-02,148013.53771832073
2023-02-03,161315.8868818276
2023-02-04,152831.9794895603
2023-02-05,167488.14232521836
2023-02-06,128853.21540212326
2023-02-07,146073.69508675713
2023-02-08,141820.3198367709
2023-02-09,145618.67556163901
2023-02-10,151139.29182088573
2023-02-11,148277.46364693926
2023-02-12,122294.02770119278
2023-02-13,157072.2179459815
2023-02-14,141208.00516723504
2023-02-15,145899.1961433388
2023-02-16,128315.35646746148
2023-02-17,137866.96520575232
2023-02-18,133604.70936857062
2023-02-19,132826.45684416816
2023-02-20,145051.9941401309
2023-02-21,127809.71691258984
2023-02-22,134252.29917913344
2023-02-23,134671.85440910078
2023-02-24,127122.62691245879
2023-02-25,139218.4723414162
2023-02-26,129581.11200699091
2023-02-27,118469.8629342372
2023-02-28,118491.21539430355
2023-03-01,150005.24445438437
2023-03-02,144171.90024550332
2023-03-03,148195.79223743916
2023-03-04,138142.53652608124
2023-03-05,135323.73118538607
2023-03-06,134432.00248560315
2023-03-07,146184.58720403543
2023-03-08,167676.2617774968
2023-03-09,147046.6862880953
2023-03-10,148342.30307064592
2023-03-11,131081.0644478515
2023-03-12,127678.05143619672
2023-03-13,144700.7148508001
2023-03-14,137363.9308917653
2023-03-15,138480.2985490025
2023-03-16,145166.96508210158
2023-03-17,153466.47253836936
2023-03-18,161590.71901488065
2023-03-19,147714.66241408698
2023-03-20,142484.05869276143
2023-03-21,155625.81276885082
2023-03-22,139916.1315920368
2023-03-23,147249.1819507312
2023-03-24,142034.04982474804
2023-03-25,140788.07540430114
2023-03-26,143032.34609548372
2023-03-27,126996.96590271905
2023-03-28,137612.50383972243
2023-03-29,149832.21532705918
2023-03-30,152757.75424964522
2023-03-31,163165.33802416475
2023-04-01,148230.15220772076
2023-04-02,127295.98300432094
2023-04-03,137872.45656427587
2023-04-04,153837.84656612668
2023-04-05,133542.22574594582
2023-04-06,133826.9519168559
2023-04-07,143358.2965566563
2023-04-08,136455.31418991392
2023-04-09,143716.39270726094
2023-04-10,136961.68559726037
2023-04-11,143751.07548552632
2023-04-12,145466.39062998266
2023-04-13,139002.53071217908
2023-04-14,134526.46560507425
2023-04-15,133255.39345688056
2023-04-16,130862.6885720992
2023-04-17,108928.56680353716
2023-04-18,128242.21817479176
2023-04-19,123287.44781562185
2023-04-20,119536.77559784452
2023-04-21,125827.35119964938
2023-04-22,121439.82181505694
2023-04-23,118220.71103268751
2023-04-24,142557.45020122404
2023-04-25,133413.34209557393
2023-04-26,119948.66392113584
2023-04-27,116040.63780294548
2023-04-28,127318.08764575442
2023-04-29,143417.25872196967
2023-04-30,120810.0963292167
2023-05-01,123719.76305313774
2023-05-02,107809.48454321318
2023-05-03,135318.83239279626
2023-05-04,152347.7278883491
2023-05-05,158898.43469977705
2023-05-06,141471.1173953977
2023-05-07,126585.75758052958
2023-05-08,137089.37744438808
2023-05-09,124504.73685902124
2023-05-10,123329.14363339684
2023-05-11,140910.63211393548
2023-05-12,132969.37697821847
2023-05-13,131719.66517617743
2023-05-14,129629.85130971199
2023-05-15,130475.66983165969
